Heat_of_Formation_kJperMolH2,Entropy_of_Formation_JperMolH2perK,Material_Class_A2B,Material_Class_AB,Material_Class_AB2,Material_Class_AB2(C14),Material_Class_AB2(C15),Material_Class_AB5,Material_Class_MIC,Material_Class_Mg,Material_Class_SS
-0.5713359273670557,-1.1021840560657723,False,False,False,True,False,False,False,False,False
-0.9604409857328143,-2.9199030175799234,False,False,False,True,False,False,False,False,False
-0.3218547341115434,0.3640770104960415,False,False,False,True,False,False,False,False,False
-0.14332036316472116,-1.3830733201099712,False,False,True,False,False,False,False,False,False
1.1536964980544742,1.2569831067504669,False,False,False,True,False,False,False,False,False
-0.5233463035019456,-0.25907185689537887,False,False,False,True,False,False,False,False,False
0.20687418936446153,-0.9214449761571857,False,False,True,False,False,False,False,False,False
0.2717250324254213,-0.2936630191415336,False,False,False,False,False,True,False,False,False
-0.21984435797665366,-0.16480185756153312,False,False,False,True,False,False,False,False,False
-0.8307392996108948,-2.745866095732824,False,False,False,True,False,False,False,False,False
-1.4922178988326844,-3.667229694079148,False,False,True,False,False,False,False,False,False
-0.6232166018158236,0.473816958438518,False,False,False,True,False,False,False,False,False
-0.506485084306096,0.2659395240100381,False,False,False,True,False,False,False,False,False
-0.1102464332036318,0.2195296781841452,False,False,False,True,False,False,False,False,False
-0.013618677042801607,-1.0538404666638002,False,False,False,False,True,False,False,False,False
1.0823605706874184,0.7232464434752234,False,False,True,False,False,False,False,False,False
0.38845654993514867,0.8725588258958221,False,False,True,False,False,False,False,False,False
0.3495460440985732,-0.053128166042977466,False,False,False,True,False,False,False,False,False
-0.5194552529182879,0.6575225981660126,False,False,False,False,True,False,False,False,False
-0.27950713359273677,-0.6351145781412698,False,False,True,False,False,False,False,False,False
0.04474708171206209,0.13529866139572322,False,False,True,False,False,False,False,False,False
-0.506485084306096,-0.1297233777155191,False,False,True,False,False,False,False,False,False
-0.24708171206225688,-0.4737173938401349,False,False,False,False,False,False,False,False,True
-0.3501945525291829,0.5265114708866677,False,False,False,False,True,False,False,False,False
0.2652399481193252,0.26506148455053563,False,False,False,False,False,True,False,False,False
-0.46108949416342415,-1.3293989262550412,False,False,False,True,False,False,False,False,False
-0.48313878080415046,-0.39588421490295983,False,False,False,True,False,False,False,False,False
1.8929961089494156,0.314003313228803,True,False,False,False,False,False,False,False,False
-1.2198443579766534,-2.939240453340712,False,False,False,False,True,False,False,False,False
2.5544747081712056,-0.9469479236581217,False,True,False,False,False,False,False,False,False
-0.648508430609598,-0.6873960589968516,False,False,False,True,False,False,False,False,False
-0.35732814526588846,-0.49750795503131673,False,False,False,False,False,True,False,False,False
1.4195849546044095,1.4600261822387492,False,False,False,False,False,False,True,False,False
-0.07198443579766554,-0.3045148309332325,False,False,False,False,True,False,False,False,False
-0.195201037613489,0.23499962679277595,False,False,False,True,False,False,False,False,False
-0.6044098573281453,-0.2421516006046882,False,False,False,True,False,False,False,False,False
2.8009079118028524,1.1493814794264237,False,False,False,False,False,False,False,True,False
-0.3897535667963683,-0.20318394636543383,False,False,False,False,False,False,True,False,False
-0.21465629053177698,0.6865287518071955,False,False,False,True,False,False,False,False,False
1.0045395590142665,0.9360704858896536,False,False,True,False,False,False,False,False,False
-0.35732814526588846,0.08223388428254427,False,False,False,True,False,False,False,False,False
0.11608300907911794,-1.1795337991089272,False,False,False,True,False,False,False,False,False
-0.11738002594033733,-1.2955584136736606,False,False,False,True,False,False,False,False,False
1.3223086900129697,1.7452473009666285,False,False,True,False,False,False,False,False,False
1.2704280155642016,-0.2627968618032316,False,False,True,False,False,False,False,False,False
-0.6115434500648509,-0.23973442113458976,False,False,False,True,False,False,False,False,False
